country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
Afghanistan,,,,,,,90100,,,,,,38500,34500,36,,,,,,,7150,14,,101000,,3250,5,157000,92000,,274,102000,1000,1040,507,936,,
Albania,,,,,,,,,,385,,,5010,,,,,,690,,,,,,,,,,2100,,,,,,,,,,
Algeria,,,,,,,,,,,933000,,,,,30,,3150,257,12200,,,2250,,13000,,,,,15200,,,,213000,315,,323,,
Argentina,,,,,,,,170,,,,,,,,45200,,,,,,,,,,,,,,,,,727,,,,,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,,,,,,,,,,
Australia,,,,,,,,,,,,,,,,,,,,2130,,,,,5030,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700000,9170,3330,,,,,,,,
Bangladesh,,,,,,,,,,,,,,,,,,,102,101,,,,,,,,223,,15200,1000,,,2530,,,,,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,
Belgium,,,,,,,,,,,,,,1030,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,,20,,,,,,,,,,,,5,,,,18100,,,,,,,,,,
Brazil,,,,,,,,,,,,,,,,,23000,,,,,,,,,,,,,,,,,,,,,287,
Bulgaria,,,,,,,,185,,,,,,,,,3060,,,,1,,,,,,,,,,,,,,,,527,,
Burundi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,,,,
Chile,,2350000,,,,,,,,,,,,1530,,1480000,,5120,,,,,,,,1840,,53100,,,,,,,,27700,,25200,
China,10000,,,,20000,10000,406000,,,4190,,26000,15,18700,,16600,290,194000,1320000,246000,64500,283000,16000,143000,6650,1030000,5310000,775000,1190000,3040000,2110000,503000,65900,3150000,437000,634000,412000,332,47200000
Colombia,3440,,,,,,,,,12500,,10,,36500,,,,,,,,869,1650,3070,37700,18300,,,,1210000,432,,,,8540,,,175,
"Congo, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,320,,,,,,,,,,,,,,,,13000
"Congo, Rep.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1510,,,
Costa Rica,,,,3770,,,,,,,,,,5550,,,,,,,14600,10600,,243,,,,,,,,,,137,288,,,,
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,2000,,,,,,,,,,,,
Cuba,,,,,,,9,,,,,,,,,,,,,,,,5870,,,,,,,,,,,,,,,,
Cyprus,,,,,,,,,,,,,,,,,,,,,,,,,,1870,,,,,,,,,,,,,
Dominica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100,,,,
Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,,,,,
Ecuador,88100,,,,,,20000,,,,48,,,,,,,155000,,,6510,,,,,893,30700,,2040,,,,,,,,,,
Egypt,,,,,,,,,,,,,,,,,,,,,,,93200,,,79,,,,,,,250,,,,,,
El Salvador,,,,,,,,,,,,,32500,,,,771000,,,,,,,,,,,,,,,1590000,,,,752,16500,,
Georgia,,,,,,,,,,,,,,,,,,,,,,3750,11,,,,,,,,,,19200,,,,,,
Germany,,,,,,,,,,,,,,,,,,,,,,,1530,,,,,,,,,,,,150,,,,
Greece,,,,,,,,,600000,48,18,80900,,487,,186,45300,,25,,62,,,2120,,29000,1500,,,115000,600,300,167,50,,,,,3710
Guatemala,,,,,,,5020000,,,2040,,,20,,,5000,2500,,2060,,,23900,,,,,,,,282,,158,,,,,,,
Guinea,,,,,,,,,,,,,,21700,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,,,,,,,,,,,2,,500,,,,,,,,,,,,,,,,,,,,,,,,,1880,
Iceland,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,199,,,,,,,,
India,26,,100,,,47,,,,,61,212,,,10900,,36,,20000000,,,55900,,40300,,,,157000,,478000,,6340000,202,,,158000,,,
Indonesia,,,,,,,478000,4190,,86300,20000,2990,23800,100,1950,17,,32200,,23000,9320,17200,102000,,261000,92000,38800,3130,6980,16900,270000,12500,11900,3250,141000,107000,3190000,620000,10700
Iran,10200,,28500,,,,16,422000,65100,20800,150,37200,,7520,,7080,1910,3980,16600,1820,772000,1500,4060,5080,16700,,,226000,9310,7060,3020,1000,147000,324000,533,118000,169000,,20700
Iraq,,,,,,,,,,,,,,,,,,,,,,520,,,,,,,,,,,,,,,,,
Italy,,4240,451,,,,251000,,905,5010,405000,318,6000,21000,9590,,,,,,2740,,,,,,,38100,905,,,,9570,232,,,,,
Japan,,,,,103,,,,2650,27,82,,1100,208,29,20,,22700,,,,,32,18100,1790,549000,,,,,7230,11300,,21300,62200,4430,,55200,841
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36600,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,137000,,,,,1230,,,,,,,,,12100,,4270
Malawi,,,,,,,,,,,,,,,,,,,,50100,,,,,,,,,,,,,,,,,,,
Mexico,,,,517,,,,,3860,7540,6430,31,26,,,2140000,,3050,,353,,,,,,67200,,17000,,138000,1,,,179000,,,,,
Morocco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14100,,,,
Mozambique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1480,,
Myanmar,,,,,,,,,,,,,,,,,,,,,,160,,,,,,,,,,,,,,,,,
Nepal,,,,,,,,,,,241000,,,,,,,,302000,,,,,285,,,,,,,,,,,,,,,
Netherlands,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,
New Zealand,,,,,,,,,,,,,,,,,,7030,,,,,,,,,,,,,,,,,,,,,
Nicaragua,,,730000,,,,,,,,,,,,,,,,,,,,6360,,,,,,238,,7480,,,,,,,,
Pakistan,,,,,54900,,,,,,,2490,,567,16,12000,750,,,,318,205000,2140,,,,,10200,612,,,914000,156000,,13200,5200000,,,75500
Panama,,,,,,,,,,,,,,,,,,,,,,20100,,,,,,,,,,,,1420,,,,,
Papua New Guinea,15,,,,,,,,,,,,,10,,,1000,4000,,,,,,20300,,,,,,,5000,201,5480,,,201,,,
Peru,3300000,,1580000,,43800,,,,,1110,3010,12300,3,10,,400,8200,,,,101000,47400,,151,,,76000,,,8130,,354000,,,,2510,,481000,
Philippines,214,,,78,,,187000,60000,,,,,,1920,,177,,,,,1630000,,,,271000,,,,,196,,,73500,,,,,,
Poland,,,,,,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,,,,,,,
Romania,,,,,,,,388000,,,,,,,,,,,,,709,5850,,,,,,,,,,,,,,,,,
Russia,,,,,,,,,,,,,,,,,,,,,,,,,2350,2740,,,,11300,19100,,,1810,138,,12000,7510,5250
Rwanda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1690,,,,,,679
Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,700,,,,,,606,,,,
Solomon Islands,,,,,,,,1030,,,,,,,,,,,501,,,,,,,,,,,,,,,,,,,,
South Africa,,,,,,,,,,,,,17,,,,,319,36,,16,,,,,,,61,,,,,,,,60,,,
Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,
Sudan,,,,,,,,,,,,,,,,,,,,,8000,,,18,,,,,,,,,,,,,,,
Tajikistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000,,1550,,180,,15400,7010,
Tanzania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,792,700,2000,,,5000,,,
Tonga,,,,,,,,5510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,,,,,,,,,,,
Turkey,84500,89600,,,,55800,220000,30,,,,,,836000,750000,744,21100,,,,,,350000,,,160000,26000,,1590000,1600000,24100,611,252000,291000,36900,3050,,,
Turkmenistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,
Uganda,,,,,,,,,,,,,,,,,,,2000,,,,,,50000,,,,,,,,,,,,,,
United States,,1070,,,,,,,,,2,,,1560,,,179,2300,,4140,150,102,395,3000,27300,,,,,,25200,401,,162,,,3530,,2100
Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,50000,,,,,,,,,,,,,,,,
Vanuatu,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,14100,,,1000,,,,,,
Venezuela,,,,,,,,,,,186,15,,,,,1000,,,2000,,,,,,,,4260,,,,,,,,,,,
Yemen,,,,,,,,,,,,,,,,,,,,,,40100,,,,,,,,,,,,,,,,,
